,Mean,CV (%)
Coherence,0.5754646804725898,0.0
Distinctiveness,0.14217554046994163,0.0
Diversity,0.550298902886813,0.0
Semantic Integration,0.08297992705067528,0.0
Overall Score,0.3419478322702571,0.0
