,Mean,CV (%)
Coherence,0.6914277521108453,3.937164744038484e-15
Distinctiveness,0.1611097783678108,4.5184965130185504e-15
Diversity,0.5522712564564324,0.0
Semantic Integration,0.0973131193666776,0.0
Overall Score,0.3856781343082188,0.0
