,Distinct,Similar,More Similar
Coherence,0.9399513751667932,0.5754646804725898,0.5588672006931528
Distinctiveness,0.20475524351710367,0.14217554046994163,0.13639855111638705
Diversity,0.5707972956404538,0.550298902886813,0.5357175708420303
Semantic Integration,0.13140786658852235,0.08297992705067528,0.07755156446083518
Overall Score,0.4838530180509643,0.3419478322702571,0.33123355260343507
