,Mean,CV (%)
Coherence,0.9399513751667932,1.1811494232115452e-14
Distinctiveness,0.20475524351710367,1.3555489539055652e-14
Diversity,0.5707972956404538,0.0
Semantic Integration,0.13140786658852235,0.0
Overall Score,0.4838530180509643,0.0
