,Distinct,Similar,More Similar
Distinctiveness,0.6345986639071172,0.5856501000685085,0.5850362977866476
Semantic Coherence,0.5968541842204809,0.6309207109119597,0.6221299763485976
Topic Diversity,0.9137931034482758,0.8936170212765957,0.9
KL Divergence,0.9504761904761905,0.9,0.9008333333333332
Jensen-Shannon Distance,0.9504761904761905,0.9,0.9008333333333335
Semantic Integration,0.9859024397844081,0.9700375467861905,0.9631919842135478
Overall Score,0.8163877582532792,0.7928623474055115,0.7911620524590812
