,Mean,CV (%)
Coherence,0.5588672006931528,0.0
Distinctiveness,0.13639855111638705,0.0
Diversity,0.5357175708420303,0.0
Semantic Integration,0.07755156446083518,0.0
Overall Score,0.33123355260343507,0.0
