,Distinct,Similar,More Similar
Coherence,0.6345986640458999,0.5856501001196167,0.5850362978330528
Distinctiveness,0.20302489905673077,0.16841003425552814,0.2120688248816301
Diversity,0.7733333333333333,0.6266666666666667,0.625
Overall Score,0.5328734684066359,0.46868139366980016,0.4811387963810154
